                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1797,                   2.31,                 1.5617,                0.58167,                0.67247,                0.65654,                0.40861,                 1.2291,                 1.5641,                 1.7782,             0.00025547,             0.00025547,             0.00025547
                      2,                 1.2077,                 1.5543,                  1.569,                0.50359,                0.53737,                0.55606,                0.31922,                 1.3392,                 2.6534,                 1.8473,             0.00050167,             0.00050167,             0.00050167
                      3,                 1.2221,                  1.542,                 1.5767,                0.57972,                0.64498,                0.60005,                0.35273,                 1.3592,                 1.5874,                 1.9427,             0.00073772,             0.00073772,             0.00073772
                      4,                 1.2101,                 1.4716,                 1.5766,                 0.6467,                0.68902,                0.72198,                0.45972,                 1.2165,                 1.2552,                 1.7328,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.1598,                 1.3498,                 1.5218,                0.68959,                0.66545,                0.69292,                 0.4611,                 1.2283,                 1.3183,                 1.7347,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.1392,                 1.2617,                 1.5104,                0.61724,                0.72942,                 0.7301,                 0.4786,                 1.1564,                 1.2596,                 1.6642,              0.0007081,              0.0007081,              0.0007081
                      7,                 1.1118,                 1.2166,                 1.4913,                0.74156,                0.71576,                0.75773,                 0.5095,                 1.1472,                 1.1582,                 1.6565,             0.00069287,             0.00069287,             0.00069287
                      8,                  1.071,                 1.1613,                 1.4612,                0.70483,                0.75649,                0.76257,                0.52133,                 1.0911,                 1.0385,                   1.61,             0.00067764,             0.00067764,             0.00067764
                      9,                 1.0574,                 1.1009,                 1.4486,                0.77389,                0.76467,                0.80615,                 0.5505,                 1.0625,                 1.0056,                 1.5762,             0.00066242,             0.00066242,             0.00066242
                     10,                 1.0423,                  1.064,                 1.4362,                0.81517,                 0.7936,                0.84226,                0.60545,                 1.0133,                0.86119,                 1.5519,             0.00064719,             0.00064719,             0.00064719
                     11,                 1.0134,                 1.0152,                 1.4068,                 0.7475,                0.80852,                0.80617,                0.56805,                 1.0621,                0.95263,                 1.5673,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.0043,                0.98865,                 1.4038,                0.76473,                0.76745,                0.81685,                0.58514,                0.99315,                0.91143,                 1.5177,             0.00061674,             0.00061674,             0.00061674
                     13,                0.98977,                0.95888,                 1.3929,                0.78526,                0.81323,                0.83511,                0.61245,                0.96464,                0.82555,                 1.4839,             0.00060151,             0.00060151,             0.00060151
                     14,                0.96705,                0.91739,                 1.3754,                 0.7969,                0.66281,                 0.7853,                0.54087,                 1.0333,                 1.1186,                 1.5584,             0.00058629,             0.00058629,             0.00058629
                     15,                0.96058,                0.89469,                 1.3689,                0.81032,                0.81553,                 0.8379,                 0.6048,                 1.0033,                0.80356,                 1.5193,             0.00057106,             0.00057106,             0.00057106
                     16,                0.94626,                0.85275,                 1.3618,                0.82533,                0.81813,                0.84295,                0.60753,                 1.0262,                0.81656,                 1.5308,             0.00055583,             0.00055583,             0.00055583
                     17,                0.91695,                0.83978,                 1.3427,                0.78744,                 0.8268,                0.81862,                0.60128,                0.95865,                0.80592,                 1.4891,             0.00054061,             0.00054061,             0.00054061
                     18,                0.90872,                0.81667,                 1.3357,                0.82691,                0.84455,                0.85342,                0.63317,                0.91955,                0.73387,                 1.4379,             0.00052538,             0.00052538,             0.00052538
                     19,                0.90857,                0.80505,                 1.3323,                0.84703,                0.79509,                0.84342,                0.62297,                0.94042,                0.80442,                 1.4777,             0.00051015,             0.00051015,             0.00051015
                     20,                 0.8938,                0.77432,                 1.3171,                0.80912,                 0.8097,                 0.8307,                0.61603,                0.93853,                0.80791,                 1.4589,             0.00049493,             0.00049493,             0.00049493
                     21,                0.87699,                0.76827,                 1.3116,                0.81491,                0.82752,                0.85663,                0.63881,                0.93894,                0.75245,                 1.4522,              0.0004797,              0.0004797,              0.0004797
                     22,                0.86177,                 0.7441,                 1.2988,                 0.7992,                0.86761,                0.85605,                0.63695,                0.94058,                0.71999,                 1.4673,             0.00046448,             0.00046448,             0.00046448
                     23,                0.87352,                0.74001,                 1.3065,                0.82303,                0.83239,                0.85255,                 0.6357,                0.94227,                0.77429,                 1.4599,             0.00044925,             0.00044925,             0.00044925
                     24,                 0.8558,                0.72047,                 1.2906,                0.83971,                0.84183,                0.87368,                0.66561,                 0.8774,                0.71345,                 1.4088,             0.00043402,             0.00043402,             0.00043402
                     25,                0.84829,                0.71627,                 1.2855,                0.83665,                0.81943,                0.85715,                0.64842,                0.89096,                0.72881,                 1.4296,              0.0004188,              0.0004188,              0.0004188
